epoch,train_loss,learning_rate,selection_metric,selection_score,checkpoint,loss_global_ic,loss_multi,loss_div,loss_spread,loss_top_focus,loss_pairwise,h1,h3,h5,h7,alpha,topbot_h1,topbot_h3,topbot_h5,topbot_h7,topret_h1_top0p6,topret_h3_top0p6,topret_h5_top0p6,topret_h7_top0p6,topret_h1_top1,topret_h3_top1,topret_h5_top1,topret_h7_top1,topret_h1_top2,topret_h3_top2,topret_h5_top2,topret_h7_top2,topret_h1_top5,topret_h3_top5,topret_h5_top5,topret_h7_top5,topret_h1_top10,topret_h3_top10,topret_h5_top10,topret_h7_top10,topic_h1_top0p6,topic_h3_top0p6,topic_h5_top0p6,topic_h7_top0p6,topic_h1_top1,topic_h3_top1,topic_h5_top1,topic_h7_top1,topic_h1_top2,topic_h3_top2,topic_h5_top2,topic_h7_top2,topic_h1_top5,topic_h3_top5,topic_h5_top5,topic_h7_top5,topic_h1_top10,topic_h3_top10,topic_h5_top10,topic_h7_top10,topstable_h1_top0p6,topstable_h3_top0p6,topstable_h5_top0p6,topstable_h7_top0p6,topstable_h1_top1,topstable_h3_top1,topstable_h5_top1,topstable_h7_top1,topstable_h1_top2,topstable_h3_top2,topstable_h5_top2,topstable_h7_top2,topstable_h1_top5,topstable_h3_top5,topstable_h5_top5,topstable_h7_top5,topstable_h1_top10,topstable_h3_top10,topstable_h5_top10,topstable_h7_top10,rawtopret_h1_top0p6,rawtopret_h3_top0p6,rawtopret_h5_top0p6,rawtopret_h7_top0p6,rawtopret_h1_top1,rawtopret_h3_top1,rawtopret_h5_top1,rawtopret_h7_top1,rawtopret_h1_top2,rawtopret_h3_top2,rawtopret_h5_top2,rawtopret_h7_top2,rawtopret_h1_top5,rawtopret_h3_top5,rawtopret_h5_top5,rawtopret_h7_top5,rawtopret_h1_top10,rawtopret_h3_top10,rawtopret_h5_top10,rawtopret_h7_top10,rawtopstable_h1_top0p6,rawtopstable_h3_top0p6,rawtopstable_h5_top0p6,rawtopstable_h7_top0p6,rawtopstable_h1_top1,rawtopstable_h3_top1,rawtopstable_h5_top1,rawtopstable_h7_top1,rawtopstable_h1_top2,rawtopstable_h3_top2,rawtopstable_h5_top2,rawtopstable_h7_top2,rawtopstable_h1_top5,rawtopstable_h3_top5,rawtopstable_h5_top5,rawtopstable_h7_top5,rawtopstable_h1_top10,rawtopstable_h3_top10,rawtopstable_h5_top10,rawtopstable_h7_top10,passed_gates,failed_gates,selection_rank_score
6,-0.24484369789412164,1e-05,rawtopstable_h5_top0p6,0.2057428838197238,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_006.pt,-0.19484456435997705,-0.1666637710887536,0.2680462759779991,0.0,0.0,0.0,0.10554114383685577,0.12583314074771557,0.13253662018794257,0.13504790601878952,0.1474400532443903,0.31668052077293396,0.41020405292510986,0.42637088894844055,0.42481717467308044,0.3072885274887085,0.21857114136219025,0.1466156542301178,0.11768537014722824,0.2577061057090759,0.20440107583999634,0.14177194237709045,0.12099743634462357,0.19841060042381287,0.18905846774578094,0.1566239446401596,0.1419849991798401,0.1490553468465805,0.16089370846748352,0.15126481652259827,0.14468520879745483,0.12094646692276001,0.1394456923007965,0.13468006253242493,0.13337716460227966,0.08869198735261853,0.040996747142327594,0.018912197308308905,0.009599078834301321,0.08392870574128874,0.03217495122903953,0.012681016385432379,0.001317728796689248,0.08275339525351968,0.02435630001875156,-0.0032324210724447903,-0.014679342561084587,0.0659074970783172,0.02604169891196462,0.00038103253253916555,-0.00757662723501696,0.05644989512602115,0.030918513495803844,0.013964615773992163,0.006137039119868966,0.5762068955376776,0.4246046024576928,0.30607590588634526,0.2523088731022682,0.5430424622034026,0.44569113240997354,0.33534799194671394,0.29161771170983647,0.4665397000331235,0.4543023836478864,0.4041207733532579,0.37066294892107865,0.4113860278401855,0.4486829625665837,0.44981770189192827,0.44069113101473417,0.38276079659048867,0.4400889131922607,0.45379475614423637,0.4618571576877603,0.00962172169238329,0.015478219836950302,0.01663343980908394,0.01783355325460434,0.00806152168661356,0.014055958949029446,0.015392131172120571,0.016993530094623566,0.00621122308075428,0.012606400065124035,0.015453523956239223,0.01768825203180313,0.004648731555789709,0.010524502955377102,0.01438620314002037,0.01720092073082924,0.0037635823246091604,0.009154526516795158,0.012807399965822697,0.015768660232424736,0.28196338227511386,0.2439351452782535,0.2057428838197238,0.19360309431059006,0.24227272388495028,0.2304040762018152,0.19736933304918017,0.19085534409867616,0.19104427297446733,0.2098402389526213,0.2005013577041685,0.20083037975282542,0.1498038975110119,0.18198070171482109,0.19290351761388658,0.2018403576171767,0.12677757069947643,0.16531163459300993,0.17892263220391466,0.1916103840611336,True,,0.2288036090487048
5,-0.23070742777317588,0.0001,rawtopstable_h5_top0p6,0.17499627595954625,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_005.pt,-0.18361081211216937,-0.15698871244862,0.26633095298556314,0.0,0.0,0.0,0.0940536497882696,0.10717185127379622,0.11293301627654015,0.11496991165548674,0.1255061413217551,0.27583426237106323,0.34911632537841797,0.35651376843452454,0.34941279888153076,0.2613714933395386,0.1758965104818344,0.11047514528036118,0.08788615465164185,0.21658486127853394,0.15905003249645233,0.10466056317090988,0.08596689999103546,0.16766028106212616,0.14426803588867188,0.10246782004833221,0.08659467101097107,0.12181384116411209,0.11987624317407608,0.09700838476419449,0.0848340168595314,0.09787371754646301,0.10283458977937698,0.09196402132511139,0.08284793794155121,0.06457686104799219,0.01851311738080569,0.02134697783727199,0.00496837067410388,0.06387681784844267,0.01998959907899757,0.013420590234451503,0.0032672448602723806,0.0640028797320664,0.018349037458026494,0.007526439956213055,0.001126090553417946,0.05369140212882919,0.02176876508488532,0.005212252284094694,0.00016126754784639603,0.04538991955153712,0.023810498663681193,0.006726351515024274,0.0013387784692018548,0.47655180739332725,0.3457968279368403,0.2209663804343849,0.18052081252110566,0.45760312531789255,0.36068636623565803,0.23796371242007938,0.19649987822043788,0.4046335972107928,0.36671656835451777,0.2613760040960615,0.22014801750726667,0.3524913021596573,0.3520450389808536,0.28162888523164586,0.24403598540815713,0.3283057784643415,0.3439017118194017,0.30198149373590705,0.26865703945569674,0.008207547478377819,0.013247476890683174,0.013945309445261955,0.015273627825081348,0.006795019842684269,0.011742370203137398,0.012896218337118626,0.014546187594532967,0.0053308280184865,0.010265684686601162,0.011851820163428783,0.013620076701045036,0.0038835061714053154,0.008492512628436089,0.010904022492468357,0.012930306605994701,0.003146410221233964,0.007297669071704149,0.010067406110465527,0.01217493787407875,0.23855645673686157,0.2095629733597595,0.17499627595954625,0.16630731336115387,0.20467062868412308,0.1939388235154342,0.16642353631529916,0.1622144975854075,0.16796289955631713,0.17878089792083887,0.15906417668822911,0.15660485623660908,0.12763888960882827,0.15402475169732383,0.1497456892204176,0.15124379390393777,0.10731126568303927,0.13724982649502673,0.14285408080878179,0.14638278660987245,True,,0.19451954481435274
4,-0.21530035199286895,0.0001,rawtopstable_h5_top0p6,0.1495569821403472,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_004.pt,-0.17150634983869423,-0.1459800008454378,0.2445591987259146,0.0,0.0,0.0,0.09329581320646362,0.10842685368184365,0.11684705013374816,0.11927401704005956,0.12858143997563828,0.26580673456192017,0.34484946727752686,0.3634527027606964,0.3560071885585785,0.19181041419506073,0.14545530080795288,0.09484589844942093,0.07695822417736053,0.1711311936378479,0.1336108297109604,0.09496933966875076,0.07343015819787979,0.13904938101768494,0.12308694422245026,0.09168291836977005,0.07722053676843643,0.1028602197766304,0.10813389718532562,0.09416221082210541,0.08127076178789139,0.08711130172014236,0.0968117043375969,0.09127400815486908,0.08239541947841644,0.04923514600568519,0.02988752321975234,0.033679336949755,0.020874361629110293,0.04197358868096446,0.02562804386470816,0.019441342607399117,0.014284324039446255,0.04243980317580393,0.016583105723280228,0.008836955036496941,0.00303777674327138,0.03933686615741285,0.015249265942060625,0.0023591114777216276,-0.001906145116859855,0.031828981529171595,0.01590927303602936,0.0033243926987697793,-0.0014517592950943692,0.358101139351426,0.2958234304130493,0.19204851618388072,0.15849379202277616,0.35136360630489294,0.3015052252608429,0.2116653812065374,0.16466254614952075,0.323876959702579,0.3058775307256295,0.22880578851103323,0.19063090277762365,0.2833240814905188,0.30708068236861535,0.2670031950779037,0.2291482907873142,0.27902971088557027,0.31079230078796316,0.2960552809637163,0.26709870841753713,0.006022898480296135,0.010814281180500984,0.011637484654784203,0.012913753278553486,0.005426276940852404,0.009918304160237312,0.011421715840697289,0.012480957433581352,0.004496424458920956,0.009104574099183083,0.010923138819634914,0.01256255991756916,0.003319098148494959,0.008046352304518223,0.010884714312851429,0.012779414653778076,0.002863464178517461,0.007289248984307051,0.010327919386327267,0.012418542057275772,0.17903834940188906,0.17367406496595789,0.1495569821403472,0.14517382931207717,0.16416792918746148,0.16112997157781297,0.1462941965863897,0.1396654517402825,0.13824969626109,0.1508670108681893,0.142469674516739,0.142601443133859,0.10708776378758841,0.13756026206306485,0.14317581846468014,0.1452289914868792,0.09582826469709065,0.12985187692111044,0.1403613192531756,0.1449159508225521,True,,0.16823386846530314
3,-0.19927211530008332,0.0001,rawtopstable_h5_top0p6,0.14614877887838187,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_003.pt,-0.15895335813354394,-0.13439585186029585,0.2328669934079123,0.0,0.0,0.0,0.08243657600620717,0.10260183600270517,0.11272088561756118,0.11610838085974026,0.12176819388329839,0.2593483030796051,0.3223952651023865,0.34044086933135986,0.33367493748664856,0.21942773461341858,0.12536020576953888,0.08104060590267181,0.07042526453733444,0.18093951046466827,0.11854951083660126,0.0790317952632904,0.06875044852495193,0.14728233218193054,0.10585449635982513,0.07922559231519699,0.06761407107114792,0.1099085807800293,0.09916660189628601,0.08809639513492584,0.07410262525081635,0.08930404484272003,0.08734331279993057,0.08238159865140915,0.07480816543102264,0.06355354767161009,0.024234725576163418,0.01269211878226663,0.006142508197464524,0.061013887083107246,0.01892949787392816,0.005556796926329799,0.00022371555284652413,0.05048002229994565,0.01715807185660617,0.002768836675281008,0.0015712096444482424,0.04636303597653932,0.011422446266485383,-0.0061339714742280945,-0.006137271949220045,0.03912883980208377,0.014387980960548953,9.36371465870728e-05,-0.003980937828274873,0.43543419841057424,0.27152217305640947,0.17373012329995396,0.15320115811123944,0.4135061737879018,0.2731978515556611,0.1851582776667911,0.16460606420348395,0.39763320393457097,0.280210950200997,0.2112930676312749,0.18223522883107732,0.34909286155964353,0.310958862789397,0.27692404132812054,0.23540164891000656,0.33354908012215484,0.307637487795697,0.29310913651357157,0.26675396411807045,0.006901389919221401,0.010086201131343842,0.010651865042746067,0.012271900661289692,0.00586535083130002,0.00970205757766962,0.010460364632308483,0.011969718150794506,0.004743519239127636,0.008511635474860668,0.009964720346033573,0.01133219338953495,0.0036227768287062645,0.007585019338876009,0.009934642352163792,0.011334171518683434,0.002987297484651208,0.00672067329287529,0.009277419187128544,0.010999437421560287,0.22054563675841368,0.17306147472185182,0.14614877887838187,0.14637793162733534,0.18964683134213273,0.16442207388311336,0.1424818767068481,0.14295169954125508,0.15902435857738415,0.14935972449308085,0.13872670205077747,0.13709163185614284,0.1254870508950471,0.13840384707139258,0.14261237385044293,0.14032972818589506,0.10711676922301856,0.12710504430107897,0.1360070369484962,0.1384203236057413,True,,0.16365153078808475
1,-0.14049196271992773,0.0001,rawtopstable_h5_top0p6,0.1471225108102944,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_001.pt,-0.11337891630060715,-0.09037681850607525,0.21020289129495467,0.0,0.0,0.0,0.06142193201872713,0.08482692182325392,0.09454083539088017,0.09453525141967535,0.09993143137667258,0.22215497493743896,0.28235262632369995,0.295545756816864,0.2840768098831177,0.1423511505126953,0.11656831949949265,0.0886344239115715,0.07034718245267868,0.1353599727153778,0.11746000498533249,0.09338820725679398,0.07220493257045746,0.11840410530567169,0.09981418401002884,0.08296896517276764,0.059320952743291855,0.08888442069292068,0.08695891499519348,0.07307203859090805,0.054123762995004654,0.0701894462108612,0.07508817315101624,0.06752799451351166,0.05366842448711395,0.044423329059099764,0.020624406902927994,0.01375053900542127,0.013988117194660926,0.026493620127306522,0.01223171719755847,0.00413806850835966,0.005781234021045484,0.024479239584593093,0.016482660965264233,0.008235764468997216,0.00982734466138826,0.0243236740680934,0.01309999499104508,0.007075558573005552,0.0035667324619627983,0.02497028721970706,0.014371602195631722,0.007494257689264096,0.002112178162279836,0.2874756949036774,0.2471229098498276,0.19381606698064813,0.1522255444542689,0.3152395657163358,0.2779112950854309,0.2248499342789472,0.1743310638831086,0.30381288355404307,0.2590508460568191,0.21825817314291548,0.1588857759510768,0.271625892959404,0.261803053320021,0.22819295486473412,0.16710875431892153,0.25135617538329297,0.2581013134434043,0.2428288504912433,0.19116011160163854,0.004458426497876644,0.009099953807890415,0.010954771190881729,0.01249382272362709,0.004224258940666914,0.008771795779466629,0.01087754312902689,0.012077530845999718,0.003706791903823614,0.007651712745428085,0.009978631511330605,0.010919544845819473,0.0028663596604019403,0.006836002226918936,0.009106280282139778,0.010336410254240036,0.002341779414564371,0.006057878490537405,0.008482515811920166,0.009918119758367538,0.13973509498490533,0.15295317322312987,0.1471225108102944,0.14327771730808492,0.1381081461230313,0.1486131644517503,0.14628533048236936,0.14101040397930914,0.12306224055596839,0.1308554890196438,0.13585556246611272,0.12904137671392407,0.09778101204527305,0.12010512458859413,0.1262573701273605,0.12314875409629251,0.08283018190659278,0.10986124665444387,0.12048850079811188,0.12049586540415164,True,,0.1625930395434025
2,-0.1811032331749546,0.0001,rawtopstable_h5_top0p6,0.1183374907892013,C:\Users\x\code\stock_prediction\deepseek_model_exp\checkpoints_loss_ablation_A0\epochs\epoch_002.pt,-0.14488346964668636,-0.12073254042212539,0.20489319421548918,0.0,0.0,0.0,0.07890993419754719,0.09942519561829499,0.11090631737992719,0.1151148559031015,0.12093916597652203,0.2324790358543396,0.3100840449333191,0.3357474207878113,0.33526790142059326,0.1495257318019867,0.10207340866327286,0.06446793675422668,0.052731432020664215,0.11914068460464478,0.09120239317417145,0.06948722898960114,0.055657658725976944,0.09271785616874695,0.08223765343427658,0.07080420106649399,0.05990144610404968,0.07502253353595734,0.07952992618083954,0.07444817572832108,0.0640140101313591,0.06191539391875267,0.07165982574224472,0.07274705171585083,0.06690479815006256,0.029830147125834924,0.0050349191960380795,0.00036496970803928474,-0.003071473231269865,0.039718022595672114,0.009773799421691048,-0.00616656178294642,-0.0077384565470334996,0.03958466417196213,0.012282465298981119,-0.0030679592504515335,-0.007982044703134017,0.027819644971892703,0.006314618841766362,-0.005041388413024232,-0.006341409995602931,0.024584187761883078,0.009192700206847459,-0.0011594606082860196,-0.005525876476224042,0.34701618241140875,0.23723376795122653,0.1487908753774153,0.1253163247009341,0.31632439404971474,0.2359185704928636,0.17864460746873248,0.14752707024878506,0.28358953157556677,0.24226113648508157,0.20799624800925998,0.17955125119025359,0.26657363873870893,0.2660494643673028,0.251464451807115,0.2186723266955889,0.24803200307194903,0.2679058413481296,0.27510581120531674,0.25153550853101553,0.004721475765109062,0.008597007021307945,0.00926495622843504,0.010316419415175915,0.0037292991764843464,0.007857777178287506,0.009270774200558662,0.010557310655713081,0.00300294766202569,0.006991344504058361,0.008912501856684685,0.010252771899104118,0.002462766831740737,0.006325225345790386,0.008723280392587185,0.01024715043604374,0.002069137990474701,0.005744648166000843,0.00831286795437336,0.01005040854215622,0.15421087857831584,0.1425994571616415,0.1183374907892013,0.11761989632791746,0.12488496756284219,0.13248891855099282,0.12039976103559684,0.12107050130575872,0.10313801866422272,0.1212415154480898,0.11808954202788088,0.11901712963291394,0.0868154338752175,0.11293159275290643,0.11830169990109186,0.12112246060357146,0.07451335387220037,0.10500916863038816,0.11599487824060604,0.12105588303680483,True,,0.13506388550107104
